filename,width,height,class,xmin,ymin,xmax,ymax
maybay (100).jpg,275,183,maybay_dansu,11,49,205,134
maybay (101).jpg,273,184,maybay_dansu,19,37,257,130
maybay (102).jpg,259,194,maybay_dansu,124,111,227,143
maybay (102).jpg,259,194,maybay_dansu,30,114,127,146
maybay (103).jpg,276,183,maybay_dansu,7,64,276,125
maybay (104).jpg,274,184,maybay_dansu,28,60,234,125
maybay (105).jpg,275,183,maybay_dansu,61,66,258,114
maybay (106).jpg,318,159,maybay_muctieu,26,42,301,121
maybay (107).jpg,300,168,maybay_dansu,13,29,292,126
maybay (108).jpg,275,183,maybay_dansu,8,68,261,136
maybay (109).jpg,281,180,maybay_dansu,82,119,272,157
maybay (109).jpg,281,180,maybay_dansu,108,94,224,118
maybay (110).jpg,314,161,maybay_dansu,11,32,314,134
maybay (111).jpg,290,174,maybay_dansu,2,40,290,137
maybay (112).jpg,310,163,maybay_dansu,45,42,276,120
maybay (113).jpg,275,183,maybay_dansu,96,51,161,83
maybay (113).jpg,275,183,maybay_dansu,75,90,263,157
maybay (114).jpg,298,169,maybay_dansu,60,50,267,119
maybay (115).jpg,300,168,maybay_dansu,4,51,300,137
maybay (116).jpg,225,225,maybay_dansu,27,64,207,116
maybay (117).jpg,300,168,maybay_dansu,8,8,300,146
maybay (118).jpg,275,183,maybay_dansu,25,38,240,157
maybay (119).jpg,275,183,maybay_dansu,70,42,275,126
maybay (120).jpg,299,168,maybay_dansu,84,4,245,36
maybay (120).jpg,299,168,maybay_dansu,24,49,179,106
maybay (120).jpg,299,168,maybay_dansu,102,102,271,164
maybay (121).jpg,275,183,maybay_dansu,36,24,275,144
maybay (122).jpg,298,169,maybay_muctieu,42,35,260,130
maybay (123).jpg,275,183,maybay_dansu,23,42,251,117
maybay (124).jpg,300,168,maybay_dansu,11,58,286,142
maybay (125).jpg,276,183,maybay_dansu,11,73,275,149
maybay (126).jpg,259,194,maybay_dansu,7,31,259,113
maybay (127).jpg,290,174,maybay_dansu,14,53,160,133
maybay (128).jpg,291,173,maybay_dansu,2,40,286,134
maybay (129).jpg,259,194,maybay_dansu,1,38,255,137
maybay (130).jpg,310,162,maybay_dansu,4,31,310,111
maybay (131).jpg,275,184,maybay_dansu,21,61,238,110
maybay (132).jpg,360,140,maybay_dansu,16,4,357,117
maybay (133).jpg,310,163,maybay_dansu,9,21,219,152
maybay (134).jpg,300,168,maybay_dansu,16,43,275,122
maybay (135).jpg,268,188,maybay_dansu,30,4,263,50
maybay (135).jpg,268,188,maybay_dansu,18,58,268,111
maybay (135).jpg,268,188,maybay_dansu,16,120,268,172
maybay (136).jpg,318,159,maybay_dansu,47,24,318,153
maybay (137).jpg,259,194,maybay_dansu,98,88,259,130
maybay (137).jpg,259,194,maybay_dansu,209,1,250,19
maybay (138).jpg,300,168,maybay_dansu,15,59,269,141
maybay (139).jpg,276,183,maybay_dansu,39,41,241,125
maybay (140).jpg,300,168,maybay_dansu,5,15,298,127
maybay (141).jpg,257,196,maybay_dansu,2,57,257,196
maybay (142).jpg,262,192,maybay_dansu,27,101,214,145
maybay (142).jpg,262,192,maybay_dansu,46,85,262,111
maybay (142).jpg,262,192,maybay_dansu,21,74,241,104
maybay (143).jpg,310,163,maybay_dansu,5,44,310,126
maybay (144).jpg,275,183,maybay_dansu,12,55,265,133
maybay (145).jpg,303,166,maybay_dansu,1,34,300,134
maybay (146).jpg,275,183,maybay_dansu,20,71,269,153
maybay (148).jpg,100,100,maybay_dansu,6,6,96,61
maybay (149).jpg,273,185,maybay_dansu,8,51,269,127
maybay (150).jpg,300,168,maybay_dansu,14,37,291,124
maybay (151).jpg,308,164,maybay_dansu,45,38,294,110
maybay (152).jpg,284,177,maybay_dansu,71,35,200,81
maybay (153).jpg,259,194,maybay_dansu,9,56,250,136
maybay (154).jpg,299,168,maybay_dansu,15,6,202,53
maybay (154).jpg,299,168,maybay_dansu,148,52,283,92
maybay (154).jpg,299,168,maybay_dansu,151,106,287,156
maybay (154).jpg,299,168,maybay_dansu,15,79,161,119
maybay (155).jpg,298,169,maybay_dansu,13,46,286,126
maybay (156).jpg,275,183,maybay_dansu,51,52,259,116
maybay (157).jpg,310,163,maybay_dansu,13,36,291,112
maybay (158).jpg,281,180,maybay_dansu,12,58,281,113
maybay (159).jpg,275,183,maybay_dansu,22,14,262,182
maybay (160).jpg,272,185,maybay_dansu,6,46,263,127
maybay (161).jpg,269,187,maybay_dansu,27,47,261,128
maybay (162).jpg,281,180,maybay_dansu,19,51,281,137
maybay (163).jpg,298,169,maybay_dansu,14,24,285,151
maybay (164).jpg,300,168,maybay_dansu,15,27,294,119
maybay (165).jpg,297,170,maybay_dansu,25,20,295,169
maybay (166).jpg,300,168,maybay_dansu,10,52,214,124
maybay (33).jpg,275,183,maybay_dansu,32,60,275,137
maybay (34).jpg,275,183,maybay_dansu,12,47,275,126
maybay (35).jpg,300,168,maybay_dansu,41,45,294,127
maybay (36).jpg,318,159,maybay_dansu,6,25,318,128
maybay (37).jpg,275,183,maybay_dansu,38,52,255,111
maybay (38).jpg,287,175,maybay_dansu,23,63,270,126
maybay (39).jpg,300,168,maybay_dansu,144,33,282,70
maybay (40).jpg,257,196,maybay_dansu,120,7,231,54
maybay (41).jpg,292,173,maybay_dansu,14,30,292,165
maybay (42).jpg,300,168,maybay_dansu,17,67,300,136
maybay (43).jpg,275,183,maybay_muctieu,19,24,261,172
maybay (44).jpg,281,180,maybay_dansu,29,43,255,121
maybay (45).jpg,300,168,maybay_dansu,12,123,82,148
maybay (45).jpg,300,168,maybay_dansu,97,128,192,152
maybay (46).jpg,318,159,maybay_dansu,14,20,311,117
maybay (47).jpg,298,169,maybay_dansu,16,55,266,129
maybay (48).jpg,297,170,maybay_dansu,109,48,175,71
maybay (48).jpg,297,170,maybay_dansu,84,97,276,153
maybay (49).jpg,277,182,maybay_dansu,1,21,277,172
maybay (50).jpg,298,169,maybay_dansu,72,1,298,159
maybay (51).jpg,282,179,maybay_dansu,23,37,270,123
maybay (52).jpg,259,194,maybay_dansu,4,18,259,168
maybay (53).jpg,280,180,maybay_dansu,4,28,129,73
maybay (53).jpg,280,180,maybay_dansu,153,25,275,68
maybay (53).jpg,280,180,maybay_dansu,2,124,68,168
maybay (53).jpg,280,180,maybay_dansu,102,138,187,162
maybay (53).jpg,280,180,maybay_dansu,202,132,280,165
maybay (54).jpg,298,169,maybay_dansu,21,51,290,127
maybay (55).jpg,272,185,maybay_dansu,13,51,272,106
maybay (56).jpg,298,169,maybay_dansu,31,15,289,83
maybay (57).jpg,284,177,maybay_dansu,3,47,284,143
maybay (58).jpg,275,183,maybay_dansu,30,34,241,150
maybay (59).jpg,269,187,maybay_dansu,23,54,259,117
maybay (60).jpg,275,183,maybay_dansu,18,27,268,141
maybay (61).jpg,86,86,maybay_dansu,16,26,86,57
maybay (62).jpg,278,181,maybay_dansu,26,59,262,121
maybay (63).jpg,300,168,maybay_dansu,4,5,145,64
maybay (63).jpg,300,168,maybay_dansu,156,20,299,63
maybay (63).jpg,300,168,maybay_dansu,160,104,293,136
maybay (63).jpg,300,168,maybay_dansu,10,104,145,148
maybay (64).jpg,276,182,maybay_dansu,30,40,247,103
maybay (65).jpg,100,100,maybay_dansu,2,23,100,75
maybay (66).jpg,300,168,maybay_dansu,21,38,285,129
maybay (67).jpg,300,168,maybay_dansu,18,27,294,146
maybay (68).jpg,300,168,maybay_dansu,13,46,300,125
maybay (69).jpg,274,184,maybay_dansu,19,27,267,131
maybay (70).jpg,300,168,maybay_dansu,9,30,292,131
maybay (71).jpg,318,159,maybay_dansu,28,35,311,127
maybay (72).jpg,300,168,maybay_dansu,11,29,257,115
maybay (73).jpg,275,183,maybay_dansu,5,43,263,143
maybay (74).jpg,300,168,maybay_dansu,33,31,254,109
maybay (75).jpg,291,173,maybay_dansu,100,28,169,53
maybay (75).jpg,291,173,maybay_dansu,19,36,291,156
maybay (76).jpg,412,122,maybay_dansu,17,1,376,113
maybay (77).jpg,290,174,maybay_dansu,132,64,290,131
maybay (77).jpg,290,174,maybay_dansu,92,87,260,127
maybay (78).jpg,274,184,maybay_dansu,36,36,244,105
maybay (79).jpg,266,189,maybay_dansu,10,62,266,145
maybay (80).jpg,274,184,maybay_dansu,12,54,259,156
maybay (81).jpg,279,180,maybay_dansu,16,41,254,113
maybay (82).jpg,263,192,maybay_dansu,10,49,252,130
maybay (83).jpg,290,174,maybay_dansu,6,16,290,168
maybay (84).jpg,100,100,maybay_dansu,16,26,100,66
maybay (85).jpg,100,100,maybay_dansu,2,27,100,76
maybay (86).jpg,300,168,maybay_dansu,18,44,294,111
maybay (87).jpg,284,177,maybay_dansu,11,82,284,164
maybay (88).jpg,266,189,maybay_dansu,13,69,217,151
maybay (89).jpg,299,168,maybay_dansu,50,27,204,149
maybay (90).jpg,275,183,maybay_dansu,48,22,259,134
maybay (91).jpg,306,165,maybay_dansu,40,5,289,162
maybay (92).jpg,300,168,maybay_dansu,2,8,293,153
maybay (93).jpg,282,178,maybay_dansu,22,31,272,127
maybay (94).jpg,275,183,maybay_dansu,10,50,273,134
maybay (95).jpg,297,170,maybay_dansu,8,17,282,126
maybay (96).jpg,275,183,maybay_dansu,6,6,250,115
maybay (97).jpg,300,168,maybay_dansu,21,46,210,108
maybay (98).jpg,318,159,maybay_dansu,12,31,313,123
maybay (99).jpg,259,194,maybay_dansu,44,64,246,124
maybay_muctieu (100).jpg,275,183,maybay_muctieu,62,23,244,170
maybay_muctieu (101).jpg,286,176,maybay_muctieu,15,17,174,82
maybay_muctieu (101).jpg,286,176,maybay_muctieu,94,90,262,171
maybay_muctieu (102).jpg,294,171,maybay_muctieu,12,23,285,92
maybay_muctieu (102).jpg,294,171,ten_lua,27,118,276,148
maybay_muctieu (103).jpg,275,183,maybay_muctieu,5,61,223,158
maybay_muctieu (103).jpg,275,183,maybay_muctieu,90,18,121,29
maybay_muctieu (103).jpg,275,183,maybay_muctieu,108,29,127,41
maybay_muctieu (104).jpg,291,173,maybay_muctieu,15,24,276,125
maybay_muctieu (105).jpg,300,168,maybay_muctieu,32,38,94,73
maybay_muctieu (105).jpg,300,168,maybay_muctieu,182,13,274,159
maybay_muctieu (106).jpg,100,100,maybay_muctieu,1,25,99,84
maybay_muctieu (107).jpg,100,100,maybay_muctieu,1,1,84,51
maybay_muctieu (107).jpg,100,100,maybay_muctieu,5,35,92,94
maybay_muctieu (108).jpg,275,183,maybay_muctieu,27,44,272,128
maybay_muctieu (109).jpg,297,170,maybay_muctieu,14,30,275,118
maybay_muctieu (110).jpg,275,183,maybay_muctieu,27,44,256,149
maybay_muctieu (111).jpg,321,157,maybay_muctieu,18,35,202,125
maybay_muctieu (111).jpg,321,157,maybay_muctieu,107,51,306,146
maybay_muctieu (112).jpg,100,100,maybay_muctieu,1,19,100,88
maybay_muctieu (113).jpg,300,168,maybay_muctieu,20,2,300,161
maybay_muctieu (114).jpg,283,178,maybay_muctieu,14,79,283,164
maybay_muctieu (115).jpg,305,165,maybay_muctieu,23,1,289,156
maybay_muctieu (116).jpg,312,162,maybay_muctieu,186,47,308,120
maybay_muctieu (116).jpg,312,162,maybay_muctieu,116,17,199,64
maybay_muctieu (116).jpg,312,162,maybay_muctieu,7,54,154,132
maybay_muctieu (117).jpg,225,225,maybay_muctieu,12,13,225,205
maybay_muctieu (118).jpg,276,183,maybay_muctieu,26,11,255,114
maybay_muctieu (119).jpg,259,194,maybay_muctieu,6,17,249,145
maybay_muctieu (120).jpg,301,167,maybay_muctieu,11,18,207,76
maybay_muctieu (120).jpg,301,167,maybay_muctieu,79,79,300,149
maybay_muctieu (121).jpg,275,183,maybay_muctieu,18,53,262,136
maybay_muctieu (122).jpg,260,194,maybay_muctieu,10,56,242,143
maybay_muctieu (123).jpg,259,194,maybay_muctieu,19,66,256,162
maybay_muctieu (124).jpg,318,159,maybay_muctieu,188,3,277,103
maybay_muctieu (125).jpg,100,100,maybay_muctieu,1,26,100,85
maybay_muctieu (126).jpg,100,100,maybay_muctieu,2,26,100,79
maybay_muctieu (127).jpg,274,184,maybay_muctieu,38,25,252,168
maybay_muctieu (128).jpg,300,168,maybay_muctieu,7,21,292,145
maybay_muctieu (129).jpg,262,192,maybay_muctieu,47,5,239,163
maybay_muctieu (129).jpg,262,192,ten_lua,59,18,85,40
maybay_muctieu (130).jpg,275,183,maybay_muctieu,15,48,201,130
maybay_muctieu (131).jpg,290,174,maybay_muctieu,170,73,290,131
maybay_muctieu (132).jpg,274,184,ten_lua,54,58,110,77
maybay_muctieu (132).jpg,274,184,ten_lua,117,110,173,143
maybay_muctieu (132).jpg,274,184,ten_lua,150,112,203,146
maybay_muctieu (133).jpg,291,173,maybay_muctieu,14,9,283,99
maybay_muctieu (134).jpg,264,191,maybay_muctieu,52,31,198,164
maybay_muctieu (135).jpg,275,183,maybay_muctieu,86,22,234,83
maybay_muctieu (135).jpg,275,183,maybay_muctieu,88,88,187,132
maybay_muctieu (136).jpg,275,183,maybay_muctieu,22,45,262,138
maybay_muctieu (137).jpg,286,176,maybay_muctieu,44,50,261,115
maybay_muctieu (138).jpg,262,192,maybay_muctieu,2,42,262,145
maybay_muctieu (139).jpg,250,168,maybay_muctieu,16,60,239,118
maybay_muctieu (140).jpg,246,205,maybay_muctieu,21,47,208,147
maybay_muctieu (141).jpg,275,183,maybay_muctieu,28,36,250,150
maybay_muctieu (142).jpg,276,182,maybay_muctieu,74,16,137,67
maybay_muctieu (142).jpg,276,182,maybay_muctieu,150,10,222,65
maybay_muctieu (142).jpg,276,182,maybay_muctieu,129,107,195,167
maybay_muctieu (142).jpg,276,182,maybay_muctieu,26,120,99,173
maybay_muctieu (143).jpg,259,194,maybay_muctieu,30,56,191,166
maybay_muctieu (143).jpg,259,194,maybay_muctieu,220,116,259,151
maybay_muctieu (143).jpg,259,194,maybay_muctieu,1,13,46,42
maybay_muctieu (144).jpg,270,187,maybay_muctieu,12,40,234,124
maybay_muctieu (145).jpg,291,173,maybay_muctieu,17,42,286,133
maybay_muctieu (146).jpg,259,194,maybay_muctieu,38,9,242,155
maybay_muctieu (147).jpg,261,193,maybay_muctieu,43,44,216,90
maybay_muctieu (147).jpg,261,193,ten_lua,93,102,181,125
maybay_muctieu (148).jpg,331,152,maybay_muctieu,16,19,331,140
maybay_muctieu (149).jpg,309,163,maybay_muctieu,10,8,299,72
maybay_muctieu (149).jpg,309,163,maybay_muctieu,12,91,306,155
maybay_muctieu (150).jpg,100,100,maybay_muctieu,1,12,98,86
maybay_muctieu (151).jpg,100,100,maybay_muctieu,2,3,100,83
maybay_muctieu (152).jpg,100,100,maybay_muctieu,2,2,95,83
maybay_muctieu (153).jpg,259,194,maybay_muctieu,5,40,259,160
maybay_muctieu (154).jpg,284,177,maybay_muctieu,23,8,258,170
maybay_muctieu (155).jpg,335,150,maybay_muctieu,41,62,289,129
maybay_muctieu (156).jpg,275,183,maybay_muctieu,16,33,268,120
maybay_muctieu (157).jpg,272,185,maybay_muctieu,13,6,253,171
maybay_muctieu (157).jpg,272,185,ten_lua,73,112,98,135
maybay_muctieu (157).jpg,272,185,ten_lua,162,44,201,74
maybay_muctieu (157).jpg,272,185,ten_lua,80,95,103,115
maybay_muctieu (158).jpg,289,175,maybay_muctieu,4,35,269,157
maybay_muctieu (159).jpg,275,183,maybay_muctieu,63,26,244,150
maybay_muctieu (160).jpg,259,194,maybay_muctieu,16,35,228,170
maybay_muctieu (161).jpg,300,168,maybay_muctieu,16,14,291,147
maybay_muctieu (161).jpg,300,168,ten_lua,160,137,203,156
maybay_muctieu (162).jpg,275,183,maybay_muctieu,3,22,275,157
maybay_muctieu (163).jpg,225,225,maybay_muctieu,11,28,212,196
maybay_muctieu (164).jpg,275,183,maybay_muctieu,84,39,261,130
maybay_muctieu (165).jpg,300,168,maybay_muctieu,12,31,108,81
maybay_muctieu (165).jpg,300,168,maybay_muctieu,164,38,280,75
maybay_muctieu (166).jpg,300,168,maybay_muctieu,19,37,282,144
maybay_muctieu (167).jpg,305,165,maybay_muctieu,43,36,305,140
maybay_muctieu (168).jpg,310,163,maybay_muctieu,102,15,210,68
maybay_muctieu (169).jpg,355,142,maybay_muctieu,39,2,283,134
maybay_muctieu (169).jpg,355,142,ten_lua,222,94,235,119
maybay_muctieu (169).jpg,355,142,ten_lua,185,82,203,106
maybay_muctieu (169).jpg,355,142,ten_lua,251,101,262,117
